url,title,date,author,text
https://www.aljazeera.com/news/2025/5/17/one-killed-after-explosion-near-fertility-clinic-in-palm-springs,FBI calls explosion near California fertility clinic an ‘act of terrorism’,No date,No author,Palm Springs police chief Andy Mills says the blas...
https://www.aljazeera.com/news/2025/5/19/car-bomb-in-pakistans-restive-southwest-kills-four-people,Car bomb in Pakistan’s restive southwest kills four people,No date,No author,"The attack is just the latest in Balochistan, whic..."
https://www.aljazeera.com/news/2025/5/19/russia-ukraine-war-list-of-key-events-day-1180,"Russia-Ukraine war: List of key events, day 1,180",No date,No author,"These are the key events on day 1,180 of Russia’s ..."
https://www.aljazeera.com/gallery/2025/5/18/pro-palestinian-protesters-rally-around-the-world-to-mark-nakba-day,Pro-Palestinian protesters rally around the world to mark ‘Nakba Day’,No date,No author,"In Pictures
Tens of thousands of people stage mass..."
https://www.aljazeera.com/news/2025/5/17/tornadoes-kill-at-least-21-in-southern-us-states-of-missouri-and-kentucky,At least 21 dead after storms hit US states of Missouri and Kentucky,No date,No author,The storms are part of a severe weather system swe...
https://www.aljazeera.com/news/2025/5/19/romania-poland-portugal-election-results-who-are-the-winners-and-losers,"Romania, Poland, Portugal election results: Who are the winners and losers?",No date,No author,"Pro-EU forces prevail on electoral ‘super Sunday’,..."
https://www.aljazeera.com/news/2025/5/18/portugal-holds-its-third-election-in-three-years,Portugal holds its third elections in three years,No date,No author,Immigration and cost of living crisis on voters’ m...
https://www.aljazeera.com/news/2025/5/19/moscow-outlaws-amnesty-international-for-russophobia-amid-ukraine-war,Moscow outlaws Amnesty International for ‘Russophobia’ amid Ukraine war,No date,No author,Amnesty International said the decision taken by M...
https://www.aljazeera.com/sports/2025/5/19/us-pga-championship-2025-scottie-scheffler-wins-third-major-title,US PGA Championship 2025: Scottie Scheffler wins third major title,No date,No author,World number one Scottie Scheffler outlasts a fina...
https://www.aljazeera.com/news/2025/5/17/ukraine-says-russian-drone-attack-on-bus-kills-9-hours-after-direct-talks,"Trump says he will call Putin, Zelenskyy to discuss Ukraine ‘bloodbath’",No date,No author,The US leader says he will phone the Russian presi...
https://www.aljazeera.com/features/2025/5/19/fear-is-real-why-are-kashmiri-youths-removing-tattoos-from-their-bodies,"‘Fear is real’: Why young Kashmiris are removing tattoos of guns, ‘freedom’",No date,No author,"For years, these tattoos symbolised defiance again..."
https://www.aljazeera.com/news/liveblog/2025/5/19/live-israel-kills-144-palestinians-targets-north-gaza-hospital?update=3720821,LIVE: Israeli army issues forced displacement order for Gaza’s Khan Younis,No date,No author,"Israeli military orders the evacuation of Gaza’s second-largest city of Khan Younis as its offensive escalates.
Gaza hospitals under siege and attack
Follow Al Jazeera English:"
